Time (seconds),light,sound,temp,movement
205.47,,,,1075
205.60,0,,,
205.75,,26,,
205.86,,,22,
205.96,,,,1062
206.08,0,,,
206.24,,30,,
206.34,,,22,
206.44,,,,1067
206.56,0,,,
206.72,,116,,
206.82,,,22,
206.92,,,,1070
207.04,0,,,
207.20,,26,,
207.31,,,22,
207.41,,,,1069
207.53,0,,,
207.69,,112,,
207.79,,,22,
207.89,,,,1062
208.01,0,,,
208.17,,56,,
208.28,,,22,
208.38,,,,1068
208.50,0,,,
208.66,,101,,
208.76,,,22,
208.86,,,,1080
208.98,0,,,
209.14,,131,,
209.24,,,22,
209.34,,,,1065
209.47,0,,,
209.62,,18,,
209.72,,,22,
209.82,,,,1075
209.94,0,,,
210.11,,30,,
210.21,,,22,
210.31,,,,1062
210.43,0,,,
210.59,,11,,
210.69,,,22,
210.79,,,,1088
210.91,0,,,
211.08,,7,,
211.18,,,22,
211.28,,,,1053
211.40,0,,,
211.56,,37,,
211.66,,,22,
211.76,,,,1071
211.88,0,,,
212.04,,18,,
212.14,,,22,
212.24,,,,1080
212.36,0,,,
212.53,,30,,
212.63,,,22,
212.73,,,,1046
212.85,0,,,
213.01,,18,,
213.11,,,22,
213.21,,,,1072
213.34,0,,,
213.49,,37,,
213.60,,,22,
213.70,,,,1055
213.82,0,,,
213.98,,22,,
214.08,,,22,
214.18,,,,1069
214.30,0,,,
214.46,,41,,
214.56,,,22,
214.66,,,,1056
214.79,0,,,
214.95,,41,,
215.05,,,22,
215.15,,,,1068
215.27,0,,,
215.43,,7,,
215.53,,,23,
215.63,,,,1059
215.75,0,,,
215.91,,45,,
216.02,,,23,
216.12,,,,1073
216.24,0,,,
216.40,,11,,
216.50,,,22,
216.60,,,,1047
216.72,0,,,
216.88,,52,,
216.98,,,22,
217.08,,,,1055
217.20,0,,,
217.37,,52,,
217.47,,,22,
217.57,,,,1056
217.69,0,,,
217.85,,22,,
217.95,,,22,
218.05,,,,1075
218.17,0,,,
218.33,,30,,
218.44,,,22,
218.54,,,,1098
218.66,0,,,
218.82,,18,,
218.92,,,22,
219.02,,,,1062
219.14,0,,,
219.30,,0,,
219.40,,,22,
219.50,,,,1070
219.62,0,,,
219.78,,82,,
219.89,,,22,
219.99,,,,1066
220.11,0,,,
220.27,,37,,
220.37,,,22,
220.47,,,,1075
220.59,0,,,
220.75,,56,,
220.86,,,22,
220.96,,,,1075
221.08,0,,,
221.24,,18,,
221.34,,,22,
221.44,,,,1071
221.56,0,,,
221.72,,7,,
221.82,,,22,
221.92,,,,1084
222.04,0,,,
222.20,,18,,
222.30,,,22,
222.40,,,,1075
222.52,0,,,
222.69,,15,,
222.79,,,22,
222.89,,,,1066
223.01,0,,,
223.17,,7,,
223.27,,,22,
223.37,,,,1073
223.50,0,,,
223.65,,7,,
223.76,,,22,
223.86,,,,1062
223.98,0,,,
224.14,,3,,
224.24,,,22,
224.34,,,,1073
224.46,0,,,
224.62,,33,,
224.72,,,22,
224.82,,,,1071
224.94,0,,,
225.11,,63,,
225.21,,,22,
225.31,,,,1063
225.43,0,,,
225.59,,63,,
225.69,,,22,
225.79,,,,1062
225.91,0,,,
226.07,,45,,
226.18,,,22,
226.28,,,,1057
226.40,0,,,
226.56,,52,,
226.66,,,22,
226.76,,,,1074
226.88,0,,,
227.04,,7,,
227.14,,,22,
227.24,,,,1076
227.36,0,,,
227.53,,45,,
227.63,,,22,
227.73,,,,1066
227.85,0,,,
228.01,,0,,
228.11,,,22,
228.21,,,,1059
228.33,0,,,
228.49,,33,,
228.60,,,23,
228.70,,,,1082
228.82,0,,,
228.98,,33,,
229.08,,,23,
229.18,,,,1068
229.30,0,,,
229.46,,48,,
229.56,,,23,
229.66,,,,1064
229.78,0,,,
229.94,,33,,
230.05,,,23,
230.15,,,,1064
230.27,0,,,
230.43,,15,,
230.53,,,23,
230.63,,,,1064
230.75,0,,,
230.91,,37,,
231.02,,,23,
231.12,,,,1070
231.24,0,,,
231.40,,18,,
231.50,,,23,
231.60,,,,1070
231.72,0,,,
231.88,,18,,
231.98,,,23,
232.08,,,,1068
232.21,0,,,
232.36,,48,,
232.47,,,23,
232.57,,,,1069
232.69,0,,,
232.85,,11,,
232.95,,,23,
233.05,,,,1061
233.17,0,,,
233.33,,41,,
233.44,,,23,
233.54,,,,1066
233.66,0,,,
233.82,,11,,
233.92,,,23,
234.02,,,,1079
234.14,0,,,
234.30,,26,,
234.40,,,23,
234.50,,,,1073
234.62,0,,,
234.78,,18,,
234.88,,,23,
234.98,,,,1068
235.10,0,,,
235.27,,48,,
235.37,,,23,
235.47,,,,1057
235.59,0,,,
235.75,,26,,
235.85,,,23,
235.95,,,,1059
236.07,0,,,
236.23,,18,,
236.34,,,23,
236.44,,,,1071
236.56,0,,,
236.72,,41,,
236.82,,,23,
236.92,,,,1066
237.04,0,,,
237.20,,52,,
237.30,,,23,
237.40,,,,1066
237.52,0,,,
237.69,,33,,
237.79,,,23,
237.89,,,,1072
238.01,0,,,
238.17,,33,,
238.27,,,23,
238.37,,,,1071
238.49,0,,,
238.65,,18,,
238.76,,,23,
238.86,,,,1066
238.98,0,,,
239.14,,75,,
239.24,,,23,
239.34,,,,1073
239.46,0,,,
239.62,,153,,
239.72,,,23,
239.82,,,,1068
239.95,0,,,
240.11,,37,,
240.21,,,23,
240.31,,,,1072
240.43,0,,,
240.59,,37,,
240.69,,,23,
240.79,,,,1073
240.92,0,,,
241.07,,15,,
241.18,,,23,
241.28,,,,1070
241.40,0,,,
241.56,,56,,
241.66,,,23,
241.76,,,,1073
241.88,0,,,
242.04,,67,,
242.14,,,23,
242.24,,,,1070
242.36,0,,,
242.52,,30,,
242.63,,,23,
242.73,,,,1066
242.85,0,,,
243.01,,48,,
243.11,,,23,
243.21,,,,1064
243.33,0,,,
243.49,,11,,
243.60,,,23,
243.70,,,,1068
243.82,0,,,
244.08,,,23,
244.18,,,,1072
244.30,0,,,
244.46,,22,,
244.56,,,23,
244.66,,,,1065
244.78,0,,,
244.94,,33,,
245.05,,,23,
245.15,,,,1075
245.27,0,,,
245.43,,37,,
245.53,,,23,
245.63,,,,1070
245.75,0,,,
245.91,,0,,
246.01,,,23,
246.11,,,,1073
246.24,0,,,
246.40,,33,,
246.50,,,23,
246.60,,,,1061
246.72,0,,,
246.88,,22,,
246.98,,,23,
247.08,,,,1066
247.20,0,,,
247.36,,48,,
247.46,,,23,
247.56,,,,1071
247.69,0,,,
247.85,,11,,
247.95,,,23,
248.05,,,,1064
248.17,0,,,
248.33,,18,,
248.43,,,23,
248.53,,,,1055
248.66,0,,,
248.81,,3,,
248.92,,,23,
249.02,,,,1095
249.14,0,,,
249.30,,22,,
249.40,,,23,
249.50,,,,1067
249.62,0,,,
249.78,,41,,
249.88,,,23,
249.98,,,,1077
250.10,0,,,
250.27,,26,,
250.37,,,23,
250.47,,,,1044
250.59,0,,,
250.75,,60,,
250.85,,,23,
250.95,,,,1077
251.07,0,,,
251.23,,52,,
251.34,,,23,
251.44,,,,1059
251.56,0,,,
251.72,,41,,
251.82,,,23,
251.92,,,,1072
252.04,0,,,
252.20,,41,,
252.30,,,23,
252.40,,,,1062
252.52,0,,,
252.69,,41,,
252.79,,,23,
252.89,,,,1058
253.01,0,,,
253.17,,52,,
253.27,,,23,
253.37,,,,1067
253.49,0,,,
253.65,,15,,
253.76,,,23,
253.86,,,,1079
253.98,0,,,
254.14,,15,,
254.24,,,23,
254.34,,,,1057
254.46,0,,,
254.62,,67,,
254.72,,,23,
254.82,,,,1061
254.94,0,,,
255.10,,7,,
255.21,,,23,
255.31,,,,1057
255.43,0,,,
255.59,,45,,
255.69,,,23,
255.79,,,,1085
255.91,0,,,
256.07,,30,,
256.18,,,23,
256.28,,,,1053
256.40,0,,,
256.56,,3,,
256.66,,,23,
256.76,,,,1069
256.88,0,,,
257.04,,26,,
257.14,,,23,
257.24,,,,1068
257.36,0,,,
257.52,,0,,
257.63,,,23,
257.73,,,,1079
257.85,0,,,
258.01,,26,,
258.11,,,23,
258.21,,,,1093
258.33,0,,,
258.49,,33,,
258.59,,,23,
258.69,,,,1060
258.81,0,,,
258.98,,41,,
259.08,,,23,
259.18,,,,1081
259.30,0,,,
259.46,,33,,
259.56,,,23,
259.66,,,,1065
259.78,0,,,
259.94,,7,,
260.04,,,23,
260.14,,,,1064
260.26,0,,,
260.43,,45,,
260.53,,,23,
260.63,,,,1068
260.75,0,,,
260.91,,0,,
261.01,,,23,
261.11,,,,1079
261.23,0,,,
261.39,,11,,
261.50,,,23,
261.60,,,,1084
261.72,0,,,
261.88,,48,,
261.98,,,23,
262.08,,,,1053
262.20,0,,,
262.36,,18,,
262.46,,,23,
262.56,,,,1079
262.68,0,,,
262.85,,37,,
262.95,,,23,
263.05,,,,1052
263.17,0,,,
263.33,,11,,
263.43,,,23,
263.53,,,,1067
263.65,0,,,
263.81,,15,,
263.92,,,23,
264.02,,,,1080
264.14,0,,,
264.30,,22,,
264.40,,,23,
264.50,,,,1052
264.62,0,,,
264.78,,7,,
264.88,,,23,
264.98,,,,1062
265.10,0,,,
265.27,,30,,
265.37,,,23,
265.47,,,,1070
265.59,0,,,
265.75,,22,,
265.85,,,23,
265.95,,,,1051
266.07,0,,,
266.23,,37,,
266.34,,,23,
266.44,,,,1086
266.56,0,,,
266.72,,11,,
266.82,,,23,
266.92,,,,1065
267.04,0,,,
267.20,,7,,
267.30,,,23,
267.40,,,,1074
267.52,0,,,
267.68,,11,,
267.79,,,23,
267.89,,,,1046
268.01,0,,,
268.17,,7,,
268.27,,,23,
268.37,,,,1067
268.50,0,,,
268.65,,26,,
268.76,,,23,
268.86,,,,1063
268.98,0,,,
269.14,,33,,
269.24,,,23,
269.34,,,,1074
269.46,0,,,
269.62,,7,,
269.72,,,23,
269.82,,,,1060
269.94,0,,,
270.10,,18,,
270.20,,,23,
270.30,,,,1071
270.42,0,,,
270.59,,30,,
270.69,,,23,
270.79,,,,1075
270.91,0,,,
271.07,,37,,
271.17,,,23,
271.27,,,,1077
271.39,0,,,
271.56,,45,,
271.76,,,,1091
271.88,0,,,
272.04,,37,,
272.14,,,23,
272.24,,,,1056
272.36,0,,,
272.52,,18,,
272.62,,,23,
272.72,,,,1066
272.84,0,,,
273.01,,37,,
273.11,,,23,
273.21,,,,1064
273.33,0,,,
273.59,,,23,
273.69,,,,1067
273.81,0,,,
274.08,,,23,
274.18,,,,1061
274.30,0,,,
274.46,,45,,
274.56,,,23,
274.66,,,,1072
274.78,0,,,
274.94,,45,,
275.04,,,23,
275.14,,,,1043
275.26,0,,,
275.43,,15,,
275.53,,,23,
275.63,,,,1091
275.75,0,,,
275.91,,45,,
276.01,,,23,
276.11,,,,1068
276.23,0,,,
276.39,,37,,
276.50,,,23,
276.60,,,,1078
276.72,0,,,
276.88,,7,,
276.98,,,23,
277.08,,,,1051
277.20,0,,,
277.36,,18,,
277.46,,,23,
277.56,,,,1084
277.69,0,,,
277.85,,18,,
277.95,,,23,
278.05,,,,1060
278.17,0,,,
278.33,,26,,
278.43,,,23,
278.53,,,,1078
278.65,0,,,
278.81,,18,,
278.92,,,23,
279.02,,,,1054
279.14,0,,,
279.30,,67,,
279.40,,,23,
279.50,,,,1102
279.62,0,,,
279.78,,26,,
279.88,,,23,
279.98,,,,1060
280.10,0,,,
280.26,,63,,
280.37,,,23,
280.47,,,,1078
280.59,0,,,
280.75,,37,,
280.85,,,23,
280.95,,,,1060
281.07,0,,,
281.34,,,23,
281.44,,,,1080
281.72,,18,,
281.92,,,,1070
282.04,0,,,
282.20,,26,,
282.30,,,23,
282.52,0,,,
282.68,,22,,
282.78,,,23,
282.88,,,,1063
283.27,,,23,
283.37,,,,1069
283.49,0,,,
283.65,,30,,
283.75,,,23,
283.85,,,,1075
283.97,0,,,
284.13,,71,,
284.24,,,23,
284.34,,,,1069
284.46,0,,,
284.82,,,,1082
285.20,,,23,
285.30,,,,1069
285.69,,,23,
285.79,,,,1074
285.91,0,,,
286.07,,63,,
286.17,,,23,
286.27,,,,1085
286.40,0,,,
286.56,,75,,
286.66,,,23,
286.76,,,,1079
286.88,0,,,
287.04,,60,,
287.14,,,23,
287.24,,,,1058
287.36,0,,,
287.62,,,23,
287.84,0,,,
288.11,,,23,
288.21,,,,1071
288.59,,,23,
288.69,,,,1064
288.97,,63,,
289.08,,,23,
289.18,,,,1067
289.56,,,23,
289.66,,,,1069
289.94,,71,,
290.04,,,23,
290.42,,60,,
290.53,,,23,
290.63,,,,1069
290.75,0,,,
291.11,,,,1069
291.24,0,,,
291.39,,71,,
291.50,,,23,
291.60,,,,1072
291.72,0,,,
291.98,,,23,
292.08,,,,1067
292.20,0,,,
292.46,,,23,
292.56,,,,1064
292.95,,,23,
293.05,,,,1065
293.17,0,,,
293.81,,105,,
294.14,0,,,
294.62,0,,,
294.88,,,23,
294.98,,,,1074
295.26,,37,,
295.46,,,,1064
295.58,0,,,
296.07,0,,,
296.23,,63,,
296.33,,,23,
296.43,,,,1074
296.55,0,,,
296.71,,75,,
296.82,,,23,
297.04,0,,,
297.30,,,23,
297.40,,,,1064
297.52,0,,,
298.01,0,,,
298.27,,,23,
298.97,0,,,
299.24,,,23,
299.72,,,23,
299.82,,,,1068
299.94,0,,,
300.20,,,23,
300.30,,,,1068
300.79,,,,1074
301.17,,,23,
301.55,,63,,
301.88,0,,,
302.24,,,,1068
302.52,,78,,
302.62,,,23,
302.72,,,,1073
302.84,0,,,
303.00,,18,,
303.11,,,23,
303.33,0,,,
303.49,,48,,
303.69,,,,1080
304.08,,,23,
304.56,,,23,
304.78,0,,,
304.94,,41,,
305.14,,,,1072
305.26,0,,,
305.63,,,,1072
305.75,0,,,
305.91,,33,,
306.01,,,23,
306.24,0,,,
306.49,,,23,
306.88,,45,,
306.98,,,23,
307.20,0,,,
307.36,,48,,
307.46,,,23,
307.69,0,,,
307.84,,18,,
308.33,,60,,
308.43,,,23,
308.53,,,,1069
308.91,,,23,
309.29,,48,,
309.40,,,23,
310.36,,,23,
310.58,0,,,
311.07,0,,,
311.33,,,23,
311.55,0,,,
311.71,,45,,
311.92,,,,1068
312.04,0,,,
312.20,,33,,
312.78,,,23,
313.49,0,,,
313.75,,,23,
313.85,,,,1077
313.98,0,,,
314.24,,,23,
314.34,,,,1072
314.46,0,,,
314.82,,,,1071
315.58,,26,,
315.69,,,23,
315.79,,,,1050
316.39,0,,,
316.55,,90,,
316.76,,,,1063
317.04,,30,,
317.24,,,,1071
317.37,0,,,
317.52,,67,,
317.84,0,,,
318.00,,26,,
318.21,,,,1067
318.69,,,,1054
318.81,0,,,
318.97,,37,,
319.07,,,23,
319.17,,,,1087
319.46,,30,,
319.56,,,23,
319.66,,,,1059
319.78,0,,,
320.04,,,23,
320.14,,,,1070
320.52,,,23,
321.01,,,23,
321.49,,,23,
321.59,,,,1075
321.71,0,,,
321.87,,7,,
321.98,,,23,
322.08,,,,1059
322.20,0,,,
322.36,,15,,
322.46,,,23,
322.56,,,,1066
322.68,0,,,
322.84,,63,,
322.94,,,23,
323.04,,,,1070
323.16,0,,,
323.33,,33,,
323.43,,,23,
323.53,,,,1067
323.65,0,,,
323.81,,67,,
323.91,,,23,
324.02,,,,1067
324.14,0,,,
324.29,,45,,
324.40,,,23,
324.50,,,,1069
324.62,0,,,
324.78,,52,,
324.88,,,23,
324.98,,,,1072
325.10,0,,,
325.26,,3,,
325.36,,,23,
325.46,,,,1069
325.58,0,,,
325.75,,0,,
325.85,,,23,
326.07,0,,,
326.23,,108,,
326.43,,,,1067
326.71,,18,,
327.04,0,,,
327.20,,7,,
327.30,,,23,
327.40,,,,1065
327.52,0,,,
327.68,,3,,
327.78,,,23,
327.88,,,,1074
328.00,0,,,
328.16,,7,,
328.27,,,23,
328.37,,,,1065
328.49,0,,,
328.65,,15,,
328.75,,,23,
328.85,,,,1065
328.97,0,,,
329.13,,63,,
329.34,,,,1078
329.46,0,,,
329.62,,108,,
329.72,,,23,
329.82,,,,1058
329.94,0,,,
330.10,,45,,
330.20,,,23,
330.30,,,,1075
330.43,0,,,
330.69,,,23,
330.79,,,,1075
330.91,0,,,
331.07,,18,,
331.17,,,23,
331.27,,,,1065
331.39,0,,,
331.55,,33,,
331.65,,,23,
331.75,,,,1060
331.88,0,,,
332.04,,0,,
332.14,,,23,
332.24,,,,1074
332.36,0,,,
332.52,,11,,
332.62,,,23,
332.72,,,,1064
332.84,0,,,
333.00,,67,,
333.10,,,23,
333.32,0,,,
333.49,,71,,
333.59,,,23,
333.69,,,,1082
333.97,,52,,
334.07,,,23,
334.17,,,,1056
334.29,0,,,
334.56,,,23,
334.66,,,,1066
334.78,0,,,
334.94,,75,,
335.04,,,23,
335.14,,,,1083
335.26,0,,,
335.42,,71,,
335.52,,,23,
335.63,,,,1069
335.74,0,,,
335.91,,75,,
336.01,,,23,
336.11,,,,1064
336.23,0,,,
336.39,,37,,
336.49,,,23,
336.59,,,,1070
336.72,0,,,
336.87,,26,,
336.98,,,23,
337.08,,,,1080
337.20,0,,,
337.36,,86,,
337.56,,,,1075
337.68,0,,,
337.84,,52,,
337.94,,,23,
338.04,,,,1066
338.16,0,,,
338.33,,30,,
338.43,,,23,
338.53,,,,1068
338.65,0,,,
338.81,,48,,
338.91,,,23,
339.13,0,,,
339.29,,0,,
339.40,,,23,
339.50,,,,1060
339.62,0,,,
339.78,,18,,
339.98,,,,1077
340.10,0,,,
340.26,,15,,
340.36,,,23,
340.46,,,,1069
340.58,0,,,
340.74,,45,,
340.95,,,,1070
341.07,0,,,
341.23,,18,,
341.33,,,23,
341.43,,,,1074
341.56,0,,,
341.82,,,23,
341.92,,,,1076
342.04,0,,,
342.40,,,,1071
342.52,0,,,
342.68,,15,,
342.78,,,23,
342.88,,,,1078
343.00,0,,,
343.16,,3,,
343.26,,,23,
343.36,,,,1070
343.48,0,,,
343.65,,33,,
343.75,,,23,
343.85,,,,1060
343.97,0,,,
344.13,,63,,
344.33,,,,1065
344.45,0,,,
344.61,,48,,
344.72,,,23,
344.82,,,,1064
344.94,0,,,
345.10,,86,,
345.20,,,23,
345.30,,,,1067
345.42,0,,,
345.58,,52,,
345.78,,,,1064
345.90,0,,,
346.07,,48,,
346.17,,,23,
346.27,,,,1071
346.39,0,,,
346.55,,30,,
346.65,,,23,
346.75,,,,1068
346.87,0,,,
347.03,,90,,
347.14,,,23,
347.24,,,,1070
347.36,0,,,
347.52,,26,,
347.62,,,23,
347.72,,,,1077
347.84,0,,,
348.00,,67,,
348.10,,,23,
348.20,,,,1073
348.32,0,,,
348.49,,60,,
348.59,,,23,
348.69,,,,1079
348.81,0,,,
348.97,,97,,
349.10,,,23,
349.17,,,,1070
349.29,0,,,
349.45,,63,,
349.56,,,23,
349.66,,,,1074
349.78,0,,,
349.94,,101,,
350.04,,,23,
350.14,,,,1059
350.26,0,,,
350.42,,97,,
350.52,,,23,
350.62,,,,1071
350.74,0,,,
350.90,,33,,
351.01,,,23,
351.11,,,,1071
351.23,0,,,
351.39,,30,,
351.49,,,23,
351.59,,,,1073
351.87,,67,,
351.98,,,23,
352.08,,,,1056
352.20,0,,,
352.36,,48,,
352.46,,,23,
352.56,,,,1068
352.84,,78,,
352.94,,,23,
353.04,,,,1058
353.17,0,,,
353.33,,67,,
353.43,,,23,
353.53,,,,1073
353.81,,97,,
353.91,,,23,
354.01,,,,1075
354.13,0,,,
354.29,,67,,
354.40,,,23,
354.50,,,,1062
354.62,0,,,
354.78,,97,,
354.88,,,23,
354.98,,,,1069
355.10,0,,,
355.26,,75,,
355.36,,,23,
355.46,,,,1070
355.58,0,,,
355.74,,63,,
355.84,,,23,
355.94,,,,1060
356.07,0,,,
356.33,,,23,
356.43,,,,1067
356.55,0,,,
356.71,,33,,
356.81,,,23,
356.91,,,,1075
357.03,0,,,
357.19,,56,,
357.30,,,23,
357.40,,,,1066
357.52,0,,,
357.68,,52,,
357.88,,,,1077
358.00,0,,,
358.16,,26,,
358.26,,,23,
358.36,,,,1065
358.48,0,,,
358.65,,71,,
358.85,,,,1067
358.97,0,,,
359.13,,7,,
359.23,,,23,
359.46,0,,,
359.61,,22,,
359.72,,,23,
359.82,,,,1069
359.94,0,,,
360.30,,,,1076
360.42,0,,,
360.58,,22,,
360.68,,,23,
360.78,,,,1071
360.90,0,,,
361.07,,45,,
361.17,,,23,
361.27,,,,1072
361.39,0,,,
361.55,,0,,
361.65,,,24,
361.75,,,,1070
361.87,0,,,
362.03,,3,,
362.14,,,24,
362.36,0,,,
362.52,,67,,
362.62,,,24,
362.72,,,,1072
363.00,,45,,
363.10,,,24,
363.20,,,,1065
363.32,0,,,
363.48,,22,,
363.69,,,,1068
363.81,0,,,
363.97,,22,,
364.07,,,24,
364.30,0,,,
364.45,,30,,
364.56,,,23,
364.66,,,,1067
364.78,0,,,
364.94,,45,,
365.04,,,23,
365.14,,,,1069
365.26,0,,,
365.42,,41,,
365.52,,,24,
365.62,,,,1073
365.75,0,,,
365.90,,15,,
366.01,,,24,
366.11,,,,1078
366.23,0,,,
366.39,,45,,
366.49,,,24,
366.59,,,,1065
366.71,0,,,
366.87,,33,,
367.07,,,,1064
367.20,0,,,
367.36,,86,,
367.46,,,24,
367.56,,,,1067
367.68,0,,,
367.84,,48,,
367.94,,,24,
368.04,,,,1069
368.16,0,,,
368.32,,78,,
368.42,,,24,
368.52,,,,1072
368.64,0,,,
368.81,,45,,
368.91,,,24,
369.01,,,,1074
369.13,0,,,
369.29,,67,,
369.39,,,24,
369.49,,,,1060
369.61,0,,,
369.77,,22,,
369.88,,,24,
369.98,,,,1071
370.10,0,,,
370.26,,18,,
370.46,,,,1069
370.58,0,,,
370.74,,33,,
370.84,,,24,
370.94,,,,1063
371.07,0,,,
371.23,,30,,
371.33,,,24,
371.43,,,,1066
371.55,0,,,
371.81,,,24,
371.91,,,,1077
372.03,0,,,
372.19,,7,,
372.30,,,24,
372.40,,,,1070
372.52,0,,,
372.68,,52,,
372.78,,,24,
372.88,,,,1062
373.00,0,,,
373.16,,3,,
373.27,,,24,
373.36,,,,1063
373.48,0,,,
373.65,,67,,
373.75,,,24,
373.85,,,,1052
373.97,0,,,
374.13,,71,,
374.23,,,24,
374.33,,,,1068
374.61,,22,,
374.72,,,24,
374.82,,,,1067
374.94,0,,,
375.10,,71,,
375.20,,,24,
375.30,,,,1060
375.42,0,,,
375.58,,7,,
375.68,,,24,
375.79,,,,1077
375.91,0,,,
376.06,,26,,
376.17,,,24,
376.27,,,,1062
376.39,0,,,
376.55,,78,,
376.65,,,24,
376.87,0,,,
377.03,,41,,
377.14,,,24,
377.36,0,,,
377.52,,45,,
377.62,,,24,
377.72,,,,1069
377.84,0,,,
378.00,,30,,
378.10,,,24,
378.20,,,,1077
378.32,0,,,
378.48,,33,,
378.59,,,24,
378.69,,,,1072
378.81,0,,,
378.97,,45,,
379.07,,,24,
379.17,,,,1062
379.29,0,,,
379.45,,63,,
379.55,,,24,
379.65,,,,1076
379.77,0,,,
379.94,,48,,
380.04,,,24,
380.14,,,,1078
380.26,0,,,
380.42,,41,,
380.52,,,24,
380.62,,,,1086
380.74,0,,,
380.90,,78,,
381.00,,,24,
381.10,,,,1079
381.22,0,,,
381.39,,71,,
381.49,,,24,
381.59,,,,1062
381.87,,56,,
381.97,,,24,
382.07,,,,1074
382.19,0,,,
382.35,,41,,
382.46,,,24,
382.56,,,,1073
382.68,0,,,
382.84,,30,,
382.94,,,24,
383.04,,,,1057
383.16,0,,,
383.32,,26,,
383.42,,,24,
383.52,,,,1070
383.65,0,,,
383.81,,56,,
383.91,,,24,
384.01,,,,1068
384.13,0,,,
384.29,,67,,
384.39,,,24,
384.49,,,,1061
384.61,0,,,
384.77,,67,,
384.88,,,24,
384.98,,,,1062
385.10,0,,,
385.26,,71,,
385.36,,,24,
385.46,,,,1069
385.58,0,,,
385.74,,63,,
385.84,,,24,
385.94,,,,1070
386.06,0,,,
386.23,,11,,
386.33,,,24,
386.43,,,,1064
386.55,0,,,
386.71,,56,,
386.81,,,24,
386.91,,,,1060
387.03,0,,,
387.19,,67,,
387.30,,,24,
387.40,,,,1091
387.52,0,,,
387.68,,67,,
387.78,,,24,
387.88,,,,1078
388.00,0,,,
388.16,,18,,
388.27,,,24,
388.36,,,,1067
388.48,0,,,
388.64,,78,,
388.75,,,24,
388.85,,,,1087
388.97,0,,,
389.13,,82,,
389.23,,,24,
389.33,,,,1063
389.45,0,,,
389.61,,63,,
389.72,,,24,
389.82,,,,1063
389.94,0,,,
390.10,,33,,
390.20,,,24,
390.30,,,,1067
390.42,0,,,
390.58,,48,,
390.68,,,24,
390.78,,,,1059
390.90,0,,,
391.06,,56,,
391.16,,,24,
391.26,,,,1071
391.38,0,,,
391.55,,22,,
391.65,,,24,
391.75,,,,1082
391.87,0,,,
392.03,,7,,
392.13,,,24,
392.23,,,,1071
392.35,0,,,
392.52,,56,,
392.62,,,24,
392.72,,,,1073
392.84,0,,,
393.00,,22,,
393.10,,,24,
393.20,,,,1075
393.32,0,,,
393.48,,18,,
393.58,,,24,
393.68,,,,1049
393.80,0,,,
393.97,,52,,
394.07,,,24,
394.17,,,,1079
394.29,0,,,
394.45,,56,,
394.55,,,24,
394.65,,,,1041
394.78,0,,,
394.93,,45,,
395.04,,,24,
395.14,,,,1065
395.26,0,,,
395.42,,52,,
395.52,,,24,
395.62,,,,1076
395.90,,30,,
396.00,,,24,
396.10,,,,1073
396.22,0,,,
396.39,,41,,
396.49,,,24,
396.59,,,,1059
396.71,0,,,
396.87,,41,,
396.97,,,24,
397.07,,,,1070
397.19,0,,,
397.35,,75,,
397.46,,,24,
397.56,,,,1067
397.68,0,,,
397.84,,15,,
397.94,,,24,
398.04,,,,1074
398.16,0,,,
398.32,,67,,
398.42,,,24,
398.52,,,,1070
398.64,0,,,
398.81,,22,,
398.91,,,24,
399.01,,,,1085
399.13,0,,,
399.29,,86,,
399.39,,,24,
399.49,,,,1075
399.61,0,,,
399.77,,33,,
399.88,,,24,
400.10,0,,,
400.26,,60,,
400.36,,,24,
400.46,,,,221
400.58,0,,,
400.74,,105,,
400.84,,,24,
400.94,,,,1112
401.07,0,,,
401.22,,78,,
401.33,,,24,
401.43,,,,1100
401.55,0,,,
401.71,,52,,
401.81,,,24,
401.91,,,,1054
402.03,0,,,
402.19,,63,,
402.30,,,24,
402.40,,,,1078
402.52,0,,,
402.68,,52,,
402.78,,,24,
402.88,,,,1072
403.00,0,,,
403.16,,63,,
403.26,,,24,
403.36,,,,1079
403.48,0,,,
403.64,,52,,
403.74,,,24,
403.84,,,,1068
403.96,0,,,
404.13,,37,,
404.23,,,24,
404.33,,,,1078
404.45,0,,,
404.61,,37,,
404.71,,,24,
404.81,,,,1064
404.93,0,,,
405.09,,41,,
405.20,,,24,
405.30,,,,1071
405.42,0,,,
405.58,,63,,
405.68,,,24,
405.78,,,,1068
405.90,0,,,
406.06,,60,,
406.16,,,24,
406.26,,,,1061
406.38,0,,,
406.55,,41,,
406.65,,,24,
406.75,,,,1073
406.87,0,,,
407.03,,33,,
407.13,,,24,
407.23,,,,1050
407.35,0,,,
407.51,,60,,
407.62,,,24,
407.72,,,,1071
407.84,0,,,
408.00,,86,,
408.10,,,24,
408.20,,,,1068
408.32,0,,,
408.48,,82,,
408.58,,,24,
408.68,,,,1056
408.80,0,,,
408.97,,71,,
409.07,,,24,
409.17,,,,1069
409.29,0,,,
409.45,,15,,
409.55,,,24,
409.65,,,,1069
409.77,0,,,
409.93,,41,,
410.04,,,24,
410.14,,,,1067
410.26,0,,,
410.42,,48,,
410.52,,,24,
410.62,,,,1062
410.74,0,,,
410.90,,82,,
411.00,,,24,
411.10,,,,1060
411.22,0,,,
411.38,,63,,
411.49,,,24,
411.59,,,,1068
411.71,0,,,
411.87,,60,,
