Time (seconds),light,sound,temp,movement
65.06,,,22,
65.16,,,,1064
65.28,0,,,
65.44,,56,,
65.54,,,22,
65.64,,,,1091
65.76,0,,,
65.92,,56,,
66.02,,,22,
66.12,,,,1078
66.25,0,,,
66.41,,37,,
66.51,,,22,
66.61,,,,1064
66.73,0,,,
66.89,,18,,
66.99,,,22,
67.09,,,,1059
67.21,0,,,
67.37,,33,,
67.48,,,22,
67.58,,,,1040
67.70,0,,,
67.86,,18,,
67.96,,,22,
68.06,,,,1048
68.18,0,,,
68.34,,0,,
68.44,,,22,
68.54,,,,1073
68.66,0,,,
68.83,,22,,
68.93,,,22,
69.03,,,,1053
69.15,0,,,
69.31,,11,,
69.41,,,22,
69.51,,,,1066
69.63,0,,,
69.79,,33,,
69.90,,,22,
70.00,,,,1046
70.12,0,,,
70.28,,11,,
70.38,,,22,
70.48,,,,1056
70.60,0,,,
70.76,,7,,
70.86,,,22,
70.96,,,,1064
71.08,0,,,
71.25,,22,,
71.35,,,22,
71.45,,,,1087
71.57,0,,,
71.73,,56,,
71.83,,,22,
71.93,,,,866
72.05,0,,,
72.21,,18,,
72.32,,,22,
72.42,,,,1066
72.54,0,,,
72.70,,18,,
72.80,,,22,
72.90,,,,893
73.02,0,,,
73.18,,41,,
73.28,,,22,
73.38,,,,1059
73.50,0,,,
73.66,,78,,
73.77,,,22,
73.87,,,,1066
73.99,0,,,
74.15,,30,,
74.25,,,22,
74.35,,,,1061
74.47,0,,,
74.63,,52,,
74.74,,,22,
74.84,,,,1072
74.96,0,,,
75.12,,45,,
75.22,,,22,
75.32,,,,1059
75.44,0,,,
75.60,,116,,
75.70,,,22,
75.80,,,,1058
75.92,0,,,
76.08,,22,,
76.19,,,22,
76.29,,,,1061
76.41,0,,,
76.57,,82,,
76.67,,,22,
76.77,,,,1057
76.89,0,,,
77.05,,82,,
77.15,,,22,
77.25,,,,1064
77.37,0,,,
77.54,,41,,
77.64,,,22,
77.74,,,,1057
77.86,0,,,
78.02,,78,,
78.12,,,22,
78.22,,,,1067
78.34,0,,,
78.50,,60,,
78.60,,,22,
78.70,,,,1058
78.83,0,,,
78.99,,112,,
79.09,,,22,
79.19,,,,1059
79.31,0,,,
79.47,,45,,
79.57,,,22,
79.67,,,,1061
79.79,0,,,
79.95,,18,,
80.06,,,22,
80.16,,,,1052
80.28,0,,,
80.44,,26,,
80.54,,,22,
80.64,,,,1070
80.76,0,,,
80.92,,37,,
81.02,,,22,
81.12,,,,1042
81.24,0,,,
81.41,,7,,
81.51,,,22,
81.61,,,,1042
81.73,0,,,
81.89,,30,,
81.99,,,22,
82.09,,,,1048
82.21,0,,,
82.37,,37,,
82.48,,,22,
82.58,,,,1055
82.70,0,,,
82.86,,7,,
82.96,,,22,
83.06,,,,1057
83.18,0,,,
83.34,,37,,
83.44,,,22,
83.54,,,,1048
83.66,0,,,
83.83,,138,,
83.93,,,22,
84.03,,,,1071
84.15,0,,,
84.31,,37,,
84.41,,,22,
84.51,,,,1062
84.63,0,,,
84.79,,15,,
84.90,,,22,
85.00,,,,1082
85.12,0,,,
85.28,,82,,
85.38,,,22,
85.48,,,,1080
85.60,0,,,
85.76,,18,,
85.86,,,22,
85.96,,,,1088
86.08,0,,,
86.24,,30,,
86.35,,,22,
86.45,,,,1074
86.57,0,,,
86.73,,41,,
86.83,,,22,
86.93,,,,1076
87.05,0,,,
87.21,,82,,
87.32,,,22,
87.42,,,,1070
87.54,0,,,
87.70,,33,,
87.80,,,22,
87.90,,,,1067
88.02,0,,,
88.18,,67,,
88.28,,,22,
88.38,,,,1056
88.50,0,,,
88.66,,30,,
88.76,,,22,
88.86,,,,1061
88.99,0,,,
89.15,,15,,
89.25,,,22,
89.35,,,,1058
89.47,0,,,
89.63,,37,,
89.73,,,22,
89.83,,,,1065
89.95,0,,,
90.12,,67,,
90.22,,,22,
90.32,,,,1051
90.44,0,,,
90.60,,75,,
90.70,,,22,
90.80,,,,1055
90.92,0,,,
91.08,,33,,
91.18,,,22,
91.28,,,,1035
91.40,0,,,
91.57,,41,,
91.67,,,22,
91.77,,,,1041
91.89,0,,,
92.05,,33,,
92.15,,,22,
92.25,,,,1044
92.37,0,,,
92.53,,45,,
92.64,,,22,
92.74,,,,1052
92.86,0,,,
93.02,,56,,
93.12,,,22,
93.22,,,,1040
93.34,0,,,
93.50,,7,,
93.60,,,22,
93.70,,,,1049
93.82,0,,,
93.99,,78,,
94.09,,,22,
94.19,,,,1046
94.31,0,,,
94.47,,41,,
94.57,,,22,
94.67,,,,1046
94.79,0,,,
94.95,,7,,
95.06,,,22,
95.16,,,,1042
95.28,0,,,
95.44,,63,,
95.54,,,22,
95.64,,,,1042
95.76,0,,,
95.92,,48,,
96.02,,,22,
96.12,,,,1040
96.25,0,,,
96.41,,33,,
96.51,,,22,
96.61,,,,1040
96.73,0,,,
96.89,,82,,
96.99,,,22,
97.09,,,,1035
97.21,0,,,
97.37,,41,,
97.48,,,22,
97.58,,,,1064
97.70,0,,,
97.86,,48,,
97.96,,,22,
98.06,,,,1052
98.18,0,,,
98.34,,26,,
98.44,,,22,
98.54,,,,1063
98.66,0,,,
98.82,,33,,
98.93,,,22,
99.03,,,,1046
99.15,0,,,
99.31,,18,,
99.41,,,22,
99.51,,,,1077
99.63,0,,,
99.79,,52,,
99.90,,,22,
100.00,,,,1076
100.12,0,,,
100.28,,123,,
100.38,,,22,
100.48,,,,1054
100.60,0,,,
100.76,,48,,
100.86,,,22,
100.96,,,,1052
101.08,0,,,
101.24,,108,,
101.34,,,22,
101.44,,,,1050
101.57,0,,,
101.73,,82,,
101.83,,,22,
101.93,,,,1062
102.05,0,,,
102.21,,71,,
102.31,,,22,
102.41,,,,1054
102.54,0,,,
102.69,,67,,
102.80,,,22,
102.90,,,,1060
103.02,0,,,
103.18,,56,,
103.28,,,22,
103.38,,,,1049
103.50,0,,,
103.66,,52,,
103.76,,,22,
103.86,,,,1060
103.99,0,,,
104.15,,26,,
104.25,,,22,
104.35,,,,1043
104.47,0,,,
104.63,,45,,
104.73,,,22,
104.83,,,,1070
104.95,0,,,
105.11,,37,,
105.22,,,22,
105.32,,,,1086
105.44,0,,,
105.60,,33,,
105.70,,,22,
105.80,,,,1077
105.92,0,,,
106.08,,22,,
106.18,,,22,
106.28,,,,1058
106.40,0,,,
106.57,,18,,
106.67,,,22,
106.77,,,,1075
106.89,0,,,
107.05,,45,,
107.15,,,22,
107.25,,,,1091
107.37,0,,,
107.53,,18,,
107.64,,,22,
107.74,,,,1052
107.86,0,,,
108.02,,30,,
108.12,,,22,
108.22,,,,1084
108.34,0,,,
108.50,,22,,
108.60,,,22,
108.70,,,,1069
108.83,0,,,
108.98,,7,,
109.09,,,22,
109.19,,,,1081
109.31,0,,,
109.47,,48,,
109.57,,,22,
109.67,,,,1070
109.80,0,,,
109.95,,48,,
110.06,,,22,
110.16,,,,1055
110.28,0,,,
110.44,,41,,
110.54,,,22,
110.64,,,,1036
110.76,0,,,
110.92,,18,,
111.02,,,22,
111.12,,,,1044
111.24,0,,,
111.40,,45,,
111.51,,,22,
111.61,,,,1067
111.73,0,,,
111.89,,11,,
111.99,,,22,
112.09,,,,1064
112.21,0,,,
112.37,,11,,
112.48,,,22,
112.58,,,,1088
112.70,0,,,
112.86,,15,,
112.96,,,22,
113.06,,,,1052
113.18,0,,,
113.34,,37,,
113.44,,,22,
113.54,,,,815
113.66,0,,,
113.82,,63,,
113.92,,,22,
114.02,,,,1018
114.15,0,,,
114.31,,37,,
114.41,,,22,
114.51,,,,954
114.63,0,,,
114.79,,60,,
114.89,,,22,
114.99,,,,1468
115.11,0,,,
115.27,,15,,
115.38,,,22,
115.48,,,,1033
115.60,0,,,
115.76,,0,,
115.86,,,22,
115.96,,,,1038
116.08,0,,,
116.24,,26,,
116.34,,,22,
116.45,,,,1041
116.57,0,,,
116.73,,11,,
116.83,,,22,
116.93,,,,1033
117.05,0,,,
117.21,,71,,
117.31,,,22,
117.41,,,,1033
117.53,0,,,
117.69,,52,,
117.80,,,22,
117.90,,,,1041
118.02,0,,,
118.18,,33,,
118.28,,,22,
118.38,,,,1035
118.50,0,,,
118.66,,52,,
118.76,,,22,
118.86,,,,1044
118.98,0,,,
119.15,,37,,
119.25,,,22,
119.35,,,,1056
119.47,0,,,
119.63,,37,,
119.73,,,22,
119.83,,,,1057
119.95,0,,,
